,name,language,talk.translation_shifts,talk.language,talk.room,talk.duration,talk.title,talk.speakers,talk.fahrplan
0,waffle,en,"[TranslationShift(name=""waffle"", language=""en"", Talk=<parse.Talk object at 0x10a9bb710>), TranslationShift(name=""SimplySayM"", language=""en"", Talk=<parse.Talk object at 0x10a9bb710>), TranslationShift(name=""bluewhobert"", language=""en"", Talk=<parse.Talk object at 0x10a9bb710>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10a9bb710>), TranslationShift(name=""hnms"", language=""fr"", Talk=<parse.Talk object at 0x10a9bb710>)]",de,Ada,0 days 00:30:00.000000000,Opening Ceremony (de),"['bleeptrack', 'blinry']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/11223.html
1,SimplySayM,en,"[TranslationShift(name=""waffle"", language=""en"", Talk=<parse.Talk object at 0x10a9bbd50>), TranslationShift(name=""SimplySayM"", language=""en"", Talk=<parse.Talk object at 0x10a9bbd50>), TranslationShift(name=""bluewhobert"", language=""en"", Talk=<parse.Talk object at 0x10a9bbd50>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10a9bbd50>), TranslationShift(name=""hnms"", language=""fr"", Talk=<parse.Talk object at 0x10a9bbd50>)]",de,Ada,0 days 00:30:00.000000000,Opening Ceremony (de),"['bleeptrack', 'blinry']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/11223.html
2,bluewhobert,en,"[TranslationShift(name=""waffle"", language=""en"", Talk=<parse.Talk object at 0x10a9ec3d0>), TranslationShift(name=""SimplySayM"", language=""en"", Talk=<parse.Talk object at 0x10a9ec3d0>), TranslationShift(name=""bluewhobert"", language=""en"", Talk=<parse.Talk object at 0x10a9ec3d0>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10a9ec3d0>), TranslationShift(name=""hnms"", language=""fr"", Talk=<parse.Talk object at 0x10a9ec3d0>)]",de,Ada,0 days 00:30:00.000000000,Opening Ceremony (de),"['bleeptrack', 'blinry']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/11223.html
3,ironic,fr,"[TranslationShift(name=""waffle"", language=""en"", Talk=<parse.Talk object at 0x10a9eca10>), TranslationShift(name=""SimplySayM"", language=""en"", Talk=<parse.Talk object at 0x10a9eca10>), TranslationShift(name=""bluewhobert"", language=""en"", Talk=<parse.Talk object at 0x10a9eca10>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10a9eca10>), TranslationShift(name=""hnms"", language=""fr"", Talk=<parse.Talk object at 0x10a9eca10>)]",de,Ada,0 days 00:30:00.000000000,Opening Ceremony (de),"['bleeptrack', 'blinry']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/11223.html
4,hnms,fr,"[TranslationShift(name=""waffle"", language=""en"", Talk=<parse.Talk object at 0x10a9ee090>), TranslationShift(name=""SimplySayM"", language=""en"", Talk=<parse.Talk object at 0x10a9ee090>), TranslationShift(name=""bluewhobert"", language=""en"", Talk=<parse.Talk object at 0x10a9ee090>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10a9ee090>), TranslationShift(name=""hnms"", language=""fr"", Talk=<parse.Talk object at 0x10a9ee090>)]",de,Ada,0 days 00:30:00.000000000,Opening Ceremony (de),"['bleeptrack', 'blinry']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/11223.html
5,sirenensang,de,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10a9ee3d0>), TranslationShift(name=""eibwen"", language=""de"", Talk=<parse.Talk object at 0x10a9ee3d0>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10a9ee3d0>), TranslationShift(name=""damok"", language=""fr"", Talk=<parse.Talk object at 0x10a9ee3d0>)]",en,Ada,0 days 01:00:00.000000000,The Case for Scale in Cyber Security,['Vincenzo Iozzo'],https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/11220.html
6,eibwen,de,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10a9eeb90>), TranslationShift(name=""eibwen"", language=""de"", Talk=<parse.Talk object at 0x10a9eeb90>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10a9eeb90>), TranslationShift(name=""damok"", language=""fr"", Talk=<parse.Talk object at 0x10a9eeb90>)]",en,Ada,0 days 01:00:00.000000000,The Case for Scale in Cyber Security,['Vincenzo Iozzo'],https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/11220.html
7,korfuri,fr,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10a9ef110>), TranslationShift(name=""eibwen"", language=""de"", Talk=<parse.Talk object at 0x10a9ef110>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10a9ef110>), TranslationShift(name=""damok"", language=""fr"", Talk=<parse.Talk object at 0x10a9ef110>)]",en,Ada,0 days 01:00:00.000000000,The Case for Scale in Cyber Security,['Vincenzo Iozzo'],https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/11220.html
8,damok,fr,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10a9ef650>), TranslationShift(name=""eibwen"", language=""de"", Talk=<parse.Talk object at 0x10a9ef650>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10a9ef650>), TranslationShift(name=""damok"", language=""fr"", Talk=<parse.Talk object at 0x10a9ef650>)]",en,Ada,0 days 01:00:00.000000000,The Case for Scale in Cyber Security,['Vincenzo Iozzo'],https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/11220.html
9,os10000,de,"[TranslationShift(name=""os10000"", language=""de"", Talk=<parse.Talk object at 0x10a9efa50>), TranslationShift(name=""PetePriority"", language=""de"", Talk=<parse.Talk object at 0x10a9efa50>)]",en,Borg,0 days 01:00:00.000000000,I am system: breaking the security boundary in windows OS.,"['Shi Qin', 'Wenxu Wu', 'Haoyu Yang']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10841.html
